 CAM_lack_of_industry: "Отсутствие промышленности"
CAM_lack_of_industry_desc: "Да, мы получили независимость но наша промышленность оставляет желать лучшего."
 CAM_lack_of_industry_prom_update: "Зарождающаяся промышленность"
CAM_lack_of_industry_prom_update_desc: "После получения независимости мы обрели неэффективную промышленность, и пришло время ее развивать."
 CAM_lack_of_industry_prom_update1: "Промышленное производтво в сельском хозяйстве"
CAM_lack_of_industry_prom_update1_desc: "Пришло время совершенствовать наше сельское хозяйство! Поэтому было принято решение сделать агропромышленный комплекс неотемлемой частью нашей экономики."
 CAM_agrarism_paradise: "Плодородный рай"
CAM_agrarism_paradise_desc: "Благодаря нашим усилиям мы наконец-то смогли построить в нашей стране плодородный рай, где никто не будет голодать никогда!"
 CAM_lack_of_industry_prom_update2: "Форсированная индустриализация"
CAM_lack_of_industry_prom_update2_desc: "Мы должны в кратчайшие сроки создать тяжелую промышленность, на базе которой укреплялась бы обороноспособность нашей страны."
 CAM_industrial_country: "Мировая фабрика"
CAM_industrial_country_desc: "Наш промышленный потенциал невероятно велик, а объем производства превышает все возможные пределы. Отныне мы с гордостью забираем у Великобритании титул фабрики мира!"
 CAM_lack_of_industry_prom_update21: "Частная собственность на средства производства"
CAM_lack_of_industry_prom_update21_desc: "Используя термин Маркса 'Частная собственность на средства производства', мы планируем забрать средства производства у рабочих и переработать их 
 в блага для них же. Тем самым мы увеличим свое состояние и конечно же обеспечим наших рабочих всеми благами цивилизации."
 CAM_lack_of_industry_prom_update22: "Приватизированные заводы"
CAM_lack_of_industry_prom_update22_desc: "Рабочие не знают, как правильно управлять заводами так как они слишком глупы, вместо этого мы передадим наши заводы и предприятия крупным
 промышленникам и олиграхам для увеличения их эффективности."
 CAM_corporative_mode_idea: "Корпоративная экономика"
CAM_corporative_mode_idea_desc: "Мы будем брать пример с Италии под руководством Бенито Муссолини и построим в нашей стране общество, где классы сотрудничают что бы достичь общей великой цели."
 CAM_corporative_mode2_idea: "Монополистический государственный капитализм"
CAM_corporative_mode2_idea_desc: "Теперь, когда во власти страны находятся главные экономические элиты, мы сможем эффективнее управлять государством как единым и слаженным механизмом."
 CAM_lack_of_industry_prom_update3_idea: "Медленное развитие"
CAM_lack_of_industry_prom_update3_idea_desc: "Запустив рыночные механизмы, мы сможем дать экономике самой решить свои проблемы с минимальным вмешательством."
 CAM_lack_of_industry_prom_update31_idea: "Рыночные механизмы в экономике"
CAM_lack_of_industry_prom_update31_idea_desc: "Похоже, что у нас появились проблемы. Небольшая доля гос. контроля ускорит развитие нашей экономики"
 CAM_liberal_economy_idea: "Либерализация экономики"
CAM_liberal_economy_idea_desc: "УСПЕХ! Наши предыдущие действия по частичному направлению экономики сработали и теперь мы может дать рынку самому решать свои проблемы."
 CAM_liberal_economy2_idea: "Обширные рыночные реформы"
CAM_liberal_economy2_idea_desc: "Мы должны сильнее децентрализировать нашу экономику и разогнать рыночные механизмы на максимум. Наше предприниматели лучше понимают ситуацию, чем какие-то
 бюрократы в офисах."
 CAM_liberal_economy3_idea: "Полностью свободный рынок"
CAM_liberal_economy3_idea_desc: "Теперь, когда мы полностью освободили рынок и оставили лишь минимальные рамки, мы можем объявить себя по истине либеральной страной."
 CAM_central_bank_idea: "Слабый центральный банк"
 CAM_central_bank2_idea: "Развитый центральный банк"
 CAM_central_bank3_idea: "Влиятельный центральный банк"
 CAM_nazionale_government_idea: "Слабое национальное правительство"
 CAM_nazionale_government2_idea: "Популярное национальное правительство"
 CAM_nazionale_government3_idea: "Национализм как главная опора общества"
 CAM_nazionale_government4_idea: "Шовинистская националистическая диктатура"
 CAM_nazional_unity_idea: "Народное единство"
 CAM_foreign_support_idea: "Поддержка иностранного капитала"
 CAM_market_millitarism_idea: "Рыночный миллитаризм"
 CAM_country_infrastructure_idea: "Государственная инфраструктура"
 CAM_country_infrastructure2_idea: "Улучшенная государственная инфраструктура"
 CAM_asian_roads_idea: "Азиатские дороги"
 CAM_ges_energy_idea: "Энергия Меконгской ГЭС"
 CAM_working_unity_idea: "Единство рабочих"
 CAM_infrastructure_projects_idea: "Инфраструктурные проекты"
 CAM_economic_socialism_idea: "Полностью социалистическая экономика"
 CAM_sov_cooping_idea: "Обращение к советам"
 CAM_food_abundance_idea: "Пищевое изобилие"
 CAM_rapid_industrialization: "Ускоренная индустриализация"
 CAM_anti_capitalism_idea: "Антикапиталистическая экономика"
 CAM_monarch_idea: "Кхмерская монархия"
 CAM_radical_revolution_idea: "Радикально-революционный уклон"
 CAM_moderate_revolution_idea: "Умеренная революция"
 CAM_new_soviet_human: "Новый советский человек"
 CAM_right_resistance: "Правое сопротивление"
 CAM_agrarism: "Аграрный уклон"
 CAM_agrarism2: "Сельскохозяйственная держава"
 CAM_agrarism3: "Мощный аграрно-индустриальный комплекс"
 CAM_party_split: "Раскол в партии"
 CAM_party_split21: "Оппозиция в меньшенстве"
 CAM_party_split2: "Оппозиция в меньшенстве"
 CAM_centralism: "Растущая централизация"
 CAM_centralism2: "Централизация на примере СССР"
 CAM_centralism3: "Полностью централизованное государство"
 CAM_uneducated_population: "Необразованное население"
 CAM_lack_of_administration: "Отсутствие администрации"
 CAM_weak_administration: "Слабая администрация"
 CAM_rural_radicalism: "Сельский радикализм"
 CAM_disorganised_army: "Неорганизованная армия"
 CAM_financing_construction: "Финансирование строительства"
 
